"","Home_Team","Away_Team","Indicator","Stadium","Attendance","Season","Date","Round"
"141","Adelaide United","Western Sydney Wanderers","Hyundai A-League R2","Coopers Stadium",14789,"16/17","2016-10-14","2"
"142","Sydney FC","Central Coast Mariners","Hyundai A-League R2","Allianz Stadium",15082,"16/17","2016-10-15","2"
"143","Melbourne Victory","Melbourne City","Hyundai A-League R2","Marvel Stadium",43188,"16/17","2016-10-15","2"
"144","Newcastle Jets","Brisbane Roar","Hyundai A-League R2","McDonald Jones Stadium",8335,"16/17","2016-10-16","2"
"145","Perth Glory","Wellington Phoenix","Hyundai A-League R2","HBF Park",11209,"16/17","2016-10-16","2"
"146","Melbourne City","Perth Glory","Hyundai A-League R3","AAMI Park",7905,"16/17","2016-10-21","3"
"147","Central Coast Mariners","Brisbane Roar","Hyundai A-League R3","Central Coast Stadium",7073,"16/17","2016-10-22","3"
"148","Adelaide United","Melbourne Victory","Hyundai A-League R3","Coopers Stadium",14908,"16/17","2016-10-22","3"
"149","Wellington Phoenix","Sydney FC","Hyundai A-League R3","Westpac Stadium",7365,"16/17","2016-10-23","3"
"150","Western Sydney Wanderers","Newcastle Jets","Hyundai A-League R3","Spotless Stadium",13247,"16/17","2016-10-23","3"
"151","Melbourne City","Adelaide United","Hyundai A-League R4","AAMI Park",10053,"16/17","2016-10-28","4"
"152","Newcastle Jets","Sydney FC","Hyundai A-League R4","McDonald Jones Stadium",11873,"16/17","2016-10-29","4"
"153","Western Sydney Wanderers","Central Coast Mariners","Hyundai A-League R4","Spotless Stadium",12168,"16/17","2016-10-29","4"
"154","Brisbane Roar","Perth Glory","Hyundai A-League R4","Suncorp Stadium",13428,"16/17","2016-10-30","4"
"155","Melbourne Victory","Wellington Phoenix","Hyundai A-League R4","Marvel Stadium",20113,"16/17","2016-10-31","4"
"156","Brisbane Roar","Melbourne City","Hyundai A-League R5","Suncorp Stadium",20198,"16/17","2016-11-04","5"
"157","Wellington Phoenix","Newcastle Jets","Hyundai A-League R5","Westpac Stadium",5832,"16/17","2016-11-05","5"
"158","Sydney FC","Melbourne Victory","Hyundai A-League R5","Allianz Stadium",19143,"16/17","2016-11-05","5"
"159","Adelaide United","Central Coast Mariners","Hyundai A-League R5","Coopers Stadium",10974,"16/17","2016-11-06","5"
"160","Perth Glory","Western Sydney Wanderers","Hyundai A-League R5","HBF Park",13290,"16/17","2016-11-06","5"
"161","Melbourne City","Newcastle Jets","Hyundai A-League R6","AAMI Park",7745,"16/17","2016-11-10","6"
"162","Adelaide United","Brisbane Roar","Hyundai A-League R6","Coopers Stadium",9146,"16/17","2016-11-11","6"
"163","Central Coast Mariners","Wellington Phoenix","Hyundai A-League R6","GIO Stadium",5497,"16/17","2016-11-12","6"
"164","Melbourne Victory","Western Sydney Wanderers","Hyundai A-League R6","Marvel Stadium",21480,"16/17","2016-11-12","6"
"165","Sydney FC","Perth Glory","Hyundai A-League R6","Allianz Stadium",14167,"16/17","2016-11-13","6"
"166","Western Sydney Wanderers","Melbourne City","Hyundai A-League R7","Spotless Stadium",14232,"16/17","2016-11-18","7"
"167","Perth Glory","Adelaide United","Hyundai A-League R7","HBF Park",10011,"16/17","2016-11-18","7"
"168","Wellington Phoenix","Melbourne Victory","Hyundai A-League R7","Westpac Stadium",5865,"16/17","2017-01-17","7"
"169","Brisbane Roar","Sydney FC","Hyundai A-League R7","Suncorp Stadium",17322,"16/17","2016-11-19","7"
"170","Newcastle Jets","Central Coast Mariners","Hyundai A-League R7","McDonald Jones Stadium",11238,"16/17","2016-11-20","7"
"171","Central Coast Mariners","Perth Glory","Hyundai A-League R8","Central Coast Stadium",5296,"16/17","2016-11-24","8"
"172","Western Sydney Wanderers","Brisbane Roar","Hyundai A-League R8","Spotless Stadium",11201,"16/17","2016-11-25","8"
"173","Melbourne Victory","Newcastle Jets","Hyundai A-League R8","AAMI Park",18267,"16/17","2016-11-26","8"
"174","Sydney FC","Adelaide United","Hyundai A-League R8","Allianz Stadium",13179,"16/17","2016-11-26","8"
"175","Melbourne City","Wellington Phoenix","Hyundai A-League R8","AAMI Park",10644,"16/17","2016-11-27","8"
"176","Melbourne Victory","Perth Glory","Hyundai A-League R9","AAMI Park",16017,"16/17","2016-12-02","9"
"177","Central Coast Mariners","Western Sydney Wanderers","Hyundai A-League R9","Central Coast Stadium",11075,"16/17","2016-12-03","9"
"178","Melbourne City","Brisbane Roar","Hyundai A-League R9","AAMI Park",8394,"16/17","2016-12-03","9"
"179","Newcastle Jets","Sydney FC","Hyundai A-League R9","McDonald Jones Stadium",8473,"16/17","2016-12-04","9"
