"","Team1","Team2","Indicator1","Stadium_Clean1","Attendance_Clean1","Indicator2","Indicator3","Stadium_Clean2","Date","Attendance2","Attendance3","Attendance_Clean4","Season"
"432","
						Melbourne Victory

						","
						Brisbane Roar FC

						","Hyundai A-League R7","Marvel Stadium","23,740","
						Hyundai A-League R7
						Marvel Stadium
					","Hyundai A-League R7","Marvel Stadium","2014-11-21T08:40:00+00:00","
							Attendance
							23,740
						","Attendance","23,740","14/15"
"433","
						Western Sydney Wanderers FC

						","
						Newcastle Jets

						","Hyundai A-League R7","Pirtek Stadium","14,136","
						Hyundai A-League R7
						Pirtek Stadium
					","Hyundai A-League R7","Pirtek Stadium","2014-11-22T06:00:00+00:00","
							Attendance
							14,136
						","Attendance","14,136","14/15"
"434","
						Melbourne City FC

						","
						Sydney FC

						","Hyundai A-League R7","AAMI Park","9,474","
						Hyundai A-League R7
						AAMI Park
					","Hyundai A-League R7","AAMI Park","2014-11-22T08:30:00+00:00","
							Attendance
							9,474
						","Attendance","9,474","14/15"
"435","
						Perth Glory

						","
						Wellington Phoenix

						","Hyundai A-League R7","HBF Park","9,223","
						Hyundai A-League R7
						HBF Park
					","Hyundai A-League R7","HBF Park","2014-11-21T10:45:00+00:00","
							Attendance
							9,223
						","Attendance","9,223","14/15"
"436","
						Central Coast Mariners

						","
						Adelaide United

						","Hyundai A-League R7","Central Coast Stadium","6,404","
						Hyundai A-League R7
						Central Coast Stadium
					","Hyundai A-League R7","Central Coast Stadium","2014-11-23T06:00:00+00:00","
							Attendance
							6,404
						","Attendance","6,404","14/15"
"437","
						Melbourne Victory

						","
						Adelaide United

						","Hyundai A-League R8","AAMI Park","22,334","
						Hyundai A-League R8
						AAMI Park
					","Hyundai A-League R8","AAMI Park","2014-11-28T08:40:00+00:00","
							Attendance
							22,334
						","Attendance","22,334","14/15"
"438","
						Brisbane Roar FC

						","
						Perth Glory

						","Hyundai A-League R8","Suncorp Stadium","13,043","
						Hyundai A-League R8
						Suncorp Stadium
					","Hyundai A-League R8","Suncorp Stadium","2014-11-29T06:00:00+00:00","
							Attendance
							13,043
						","Attendance","13,043","14/15"
"439","
						Western Sydney Wanderers FC

						","
						Sydney FC

						","Hyundai A-League R8","Pirtek Stadium","19,138","
						Hyundai A-League R8
						Pirtek Stadium
					","Hyundai A-League R8","Pirtek Stadium","2014-11-29T08:30:00+00:00","
							Attendance
							19,138
						","Attendance","19,138","14/15"
"440","
						Wellington Phoenix

						","
						Melbourne City FC

						","Hyundai A-League R8","Westpac Stadium","7,410","
						Hyundai A-League R8
						Westpac Stadium
					","Hyundai A-League R8","Westpac Stadium","2014-11-30T04:00:00+00:00","
							Attendance
							7,410
						","Attendance","7,410","14/15"
"441","
						Newcastle Jets

						","
						Central Coast Mariners

						","Hyundai A-League R8","McDonald Jones Stadium","11,031","
						Hyundai A-League R8
						McDonald Jones Stadium
					","Hyundai A-League R8","McDonald Jones Stadium","2014-11-30T06:00:00+00:00","
							Attendance
							11,031
						","Attendance","11,031","14/15"
"442","
						Brisbane Roar FC

						","
						Newcastle Jets

						","Hyundai A-League R27","Suncorp Stadium","8,693","
						Hyundai A-League R27
						Suncorp Stadium
					","Hyundai A-League R27","Suncorp Stadium","2015-04-24T09:40:00+00:00","
							Attendance
							8,693
						","Attendance","8,693","14/15"
"443","
						Sydney FC

						","
						Perth Glory

						","Hyundai A-League R9","Allianz Stadium","11,280","
						Hyundai A-League R9
						Allianz Stadium
					","Hyundai A-League R9","Allianz Stadium","2014-12-04T08:30:00+00:00","
							Attendance
							11,280
						","Attendance","11,280","14/15"
"444","
						Central Coast Mariners

						","
						Melbourne Victory

						","Hyundai A-League R9","North Sydney Oval","7,098","
						Hyundai A-League R9
						North Sydney Oval
					","Hyundai A-League R9","North Sydney Oval","2014-12-05T08:40:00+00:00","
							Attendance
							7,098
						","Attendance","7,098","14/15"
"445","
						Newcastle Jets

						","
						Wellington Phoenix

						","Hyundai A-League R9","McDonald Jones Stadium","9,152","
						Hyundai A-League R9
						McDonald Jones Stadium
					","Hyundai A-League R9","McDonald Jones Stadium","2014-12-06T06:00:00+00:00","
							Attendance
							9,152
						","Attendance","9,152","14/15"
"446","
						Adelaide United

						","
						Western Sydney Wanderers FC

						","Hyundai A-League R9","Coopers Stadium","12,122","
						Hyundai A-League R9
						Coopers Stadium
					","Hyundai A-League R9","Coopers Stadium","2014-12-06T08:30:00+00:00","
							Attendance
							12,122
						","Attendance","12,122","14/15"
"447","
						Melbourne City FC

						","
						Brisbane Roar FC

						","Hyundai A-League R9","AAMI Park","7,721","
						Hyundai A-League R9
						AAMI Park
					","Hyundai A-League R9","AAMI Park","2014-12-07T06:00:00+00:00","
							Attendance
							7,721
						","Attendance","7,721","14/15"
"448","
						Western Sydney Wanderers FC

						","
						Perth Glory

						","Hyundai A-League R27","Pirtek Stadium","8,852","
						Hyundai A-League R27
						Pirtek Stadium
					","Hyundai A-League R27","Pirtek Stadium","2015-04-25T07:00:00+00:00","
							Attendance
							8,852
						","Attendance","8,852","14/15"
"449","
						Adelaide United

						","
						Brisbane Roar FC

						","Hyundai A-League R10","Coopers Stadium","11,241","
						Hyundai A-League R10
						Coopers Stadium
					","Hyundai A-League R10","Coopers Stadium","2014-12-12T08:40:00+00:00","
							Attendance
							11,241
						","Attendance","11,241","14/15"
"450","
						Perth Glory

						","
						Newcastle Jets

						","Hyundai A-League R10","HBF Park","9,233","
						Hyundai A-League R10
						HBF Park
					","Hyundai A-League R10","HBF Park","2014-12-12T10:45:00+00:00","
							Attendance
							9,233
						","Attendance","9,233","14/15"
"451","
						Wellington Phoenix

						","
						Central Coast Mariners

						","Hyundai A-League R10","Eden Park","11,051","
						Hyundai A-League R10
						Eden Park
					","Hyundai A-League R10","Eden Park","2014-12-13T04:00:00+00:00","
							Attendance
							11,051
						","Attendance","11,051","14/15"
"452","
						Western Sydney Wanderers FC

						","
						Melbourne City FC

						","Hyundai A-League R10","Pirtek Stadium","7,239","
						Hyundai A-League R10
						Pirtek Stadium
					","Hyundai A-League R10","Pirtek Stadium","2015-03-11T08:30:00+00:00","
							Attendance
							7,239
						","Attendance","7,239","14/15"
"453","
						Melbourne Victory

						","
						Sydney FC

						","Hyundai A-League R10","Marvel Stadium","25,203","
						Hyundai A-League R10
						Marvel Stadium
					","Hyundai A-League R10","Marvel Stadium","2014-12-13T08:30:00+00:00","
							Attendance
							25,203
						","Attendance","25,203","14/15"
"454","
						Brisbane Roar FC

						","
						Western Sydney Wanderers FC

						","Hyundai A-League R11","Suncorp Stadium","6,813","
						Hyundai A-League R11
						Suncorp Stadium
					","Hyundai A-League R11","Suncorp Stadium","2015-03-25T09:00:00+00:00","
							Attendance
							6,813
						","Attendance","6,813","14/15"
"455","
						Newcastle Jets

						","
						Adelaide United

						","Hyundai A-League R11","McDonald Jones Stadium","10,407","
						Hyundai A-League R11
						McDonald Jones Stadium
					","Hyundai A-League R11","McDonald Jones Stadium","2014-12-19T08:40:00+00:00","
							Attendance
							10,407
						","Attendance","10,407","14/15"
"456","
						Melbourne City FC

						","
						Melbourne Victory

						","Hyundai A-League R11","AAMI Park","26,372","
						Hyundai A-League R11
						AAMI Park
					","Hyundai A-League R11","AAMI Park","2014-12-20T08:30:00+00:00","
							Attendance
							26,372
						","Attendance","26,372","14/15"
"457","
						Perth Glory

						","
						Central Coast Mariners

						","Hyundai A-League R11","HBF Park","9,660","
						Hyundai A-League R11
						HBF Park
					","Hyundai A-League R11","HBF Park","2014-12-20T10:30:00+00:00","
							Attendance
							9,660
						","Attendance","9,660","14/15"
"458","
						Sydney FC

						","
						Wellington Phoenix

						","Hyundai A-League R11","Allianz Stadium","14,672","
						Hyundai A-League R11
						Allianz Stadium
					","Hyundai A-League R11","Allianz Stadium","2014-12-21T06:00:00+00:00","
							Attendance
							14,672
						","Attendance","14,672","14/15"
"459","
						Melbourne City FC

						","
						Perth Glory

						","Hyundai A-League R12","AAMI Park","9,550","
						Hyundai A-League R12
						AAMI Park
					","Hyundai A-League R12","AAMI Park","2014-12-26T06:30:00+00:00","
							Attendance
							9,550
						","Attendance","9,550","14/15"
"460","
						Sydney FC

						","
						Adelaide United

						","Hyundai A-League R12","Allianz Stadium","14,214","
						Hyundai A-League R12
						Allianz Stadium
					","Hyundai A-League R12","Allianz Stadium","2014-12-26T08:45:00+00:00","
							Attendance
							14,214
						","Attendance","14,214","14/15"
"461","
						Central Coast Mariners

						","
						Brisbane Roar FC

						","Hyundai A-League R12","Central Coast Stadium","9,932","
						Hyundai A-League R12
						Central Coast Stadium
					","Hyundai A-League R12","Central Coast Stadium","2014-12-27T06:00:00+00:00","
							Attendance
							9,932
						","Attendance","9,932","14/15"
"462","
						Melbourne Victory

						","
						Newcastle Jets

						","Hyundai A-League R12","AAMI Park","20,801","
						Hyundai A-League R12
						AAMI Park
					","Hyundai A-League R12","AAMI Park","2014-12-27T08:30:00+00:00","
							Attendance
							20,801
						","Attendance","20,801","14/15"
"463","
						Wellington Phoenix

						","
						Western Sydney Wanderers FC

						","Hyundai A-League R12","Westpac Stadium","8,606","
						Hyundai A-League R12
						Westpac Stadium
					","Hyundai A-League R12","Westpac Stadium","2014-12-28T06:00:00+00:00","
							Attendance
							8,606
						","Attendance","8,606","14/15"
"464","
						Newcastle Jets

						","
						Melbourne City FC

						","Hyundai A-League R13","McDonald Jones Stadium","9,935","
						Hyundai A-League R13
						McDonald Jones Stadium
					","Hyundai A-League R13","McDonald Jones Stadium","2014-12-30T06:00:00+00:00","
							Attendance
							9,935
						","Attendance","9,935","14/15"
"465","
						Brisbane Roar FC

						","
						Sydney FC

						","Hyundai A-League R13","Suncorp Stadium","15,765","
						Hyundai A-League R13
						Suncorp Stadium
					","Hyundai A-League R13","Suncorp Stadium","2014-12-30T09:00:00+00:00","
							Attendance
							15,765
						","Attendance","15,765","14/15"
"466","
						Adelaide United

						","
						Wellington Phoenix

						","Hyundai A-League R13","Coopers Stadium","10,060","
						Hyundai A-League R13
						Coopers Stadium
					","Hyundai A-League R13","Coopers Stadium","2014-12-31T08:30:00+00:00","
							Attendance
							10,060
						","Attendance","10,060","14/15"
"467","
						Western Sydney Wanderers FC

						","
						Central Coast Mariners

						","Hyundai A-League R13","Pirtek Stadium","14,137","
						Hyundai A-League R13
						Pirtek Stadium
					","Hyundai A-League R13","Pirtek Stadium","2015-01-01T08:30:00+00:00","
							Attendance
							14,137
						","Attendance","14,137","14/15"
"468","
						Melbourne Victory

						","
						Perth Glory

						","Hyundai A-League R13","GMHBA Stadium","21,289","
						Hyundai A-League R13
						GMHBA Stadium
					","Hyundai A-League R13","GMHBA Stadium","2015-01-02T08:40:00+00:00","
							Attendance
							21,289
						","Attendance","21,289","14/15"
"469","
						Sydney FC

						","
						Newcastle Jets

						","Hyundai A-League R14","WIN Stadium","11,733","
						Hyundai A-League R14
						WIN Stadium
					","Hyundai A-League R14","WIN Stadium","2015-01-03T08:30:00+00:00","
							Attendance
							11,733
						","Attendance","11,733","14/15"
"470","
						Wellington Phoenix

						","
						Brisbane Roar FC

						","Hyundai A-League R14","Westpac Stadium","10,267","
						Hyundai A-League R14
						Westpac Stadium
					","Hyundai A-League R14","Westpac Stadium","2015-01-04T04:00:00+00:00","
							Attendance
							10,267
						","Attendance","10,267","14/15"
"471","
						Central Coast Mariners

						","
						Melbourne City FC

						","Hyundai A-League R14","Central Coast Stadium","7,409","
						Hyundai A-League R14
						Central Coast Stadium
					","Hyundai A-League R14","Central Coast Stadium","2015-01-04T06:00:00+00:00","
							Attendance
							7,409
						","Attendance","7,409","14/15"
"472","
						Perth Glory

						","
						Adelaide United

						","Hyundai A-League R14","HBF Park","9,699","
						Hyundai A-League R14
						HBF Park
					","Hyundai A-League R14","HBF Park","2015-01-05T09:30:00+00:00","
							Attendance
							9,699
						","Attendance","9,699","14/15"
"473","
						Western Sydney Wanderers FC

						","
						Melbourne Victory

						","Hyundai A-League R14","Pirtek Stadium","14,619","
						Hyundai A-League R14
						Pirtek Stadium
					","Hyundai A-League R14","Pirtek Stadium","2015-01-06T08:30:00+00:00","
							Attendance
							14,619
						","Attendance","14,619","14/15"
"474","
						Wellington Phoenix

						","
						Sydney FC

						","Hyundai A-League R27","Westpac Stadium","13,248","
						Hyundai A-League R27
						Westpac Stadium
					","Hyundai A-League R27","Westpac Stadium","2015-04-26T05:00:00+00:00","
							Attendance
							13,248
						","Attendance","13,248","14/15"
"475","
						Adelaide United

						","
						Newcastle Jets

						","Hyundai A-League R15","Coopers Stadium","10,960","
						Hyundai A-League R15
						Coopers Stadium
					","Hyundai A-League R15","Coopers Stadium","2015-01-24T06:00:00+00:00","
							Attendance
							10,960
						","Attendance","10,960","14/15"
"476","
						Central Coast Mariners

						","
						Sydney FC

						","Hyundai A-League R15","Central Coast Stadium","12,102","
						Hyundai A-League R15
						Central Coast Stadium
					","Hyundai A-League R15","Central Coast Stadium","2015-01-24T08:30:00+00:00","
							Attendance
							12,102
						","Attendance","12,102","14/15"
"477","
						Perth Glory

						","
						Melbourne Victory

						","Hyundai A-League R15","HBF Park","12,271","
						Hyundai A-League R15
						HBF Park
					","Hyundai A-League R15","HBF Park","2015-01-25T09:00:00+00:00","
							Attendance
							12,271
						","Attendance","12,271","14/15"
"478","
						Brisbane Roar FC

						","
						Wellington Phoenix

						","Hyundai A-League R15","Suncorp Stadium","9,263","
						Hyundai A-League R15
						Suncorp Stadium
					","Hyundai A-League R15","Suncorp Stadium","2015-02-02T09:00:00+00:00","
							Attendance
							9,263
						","Attendance","9,263","14/15"
"479","
						Melbourne City FC

						","
						Western Sydney Wanderers FC

						","Hyundai A-League R15","AAMI Park","7,561","
						Hyundai A-League R15
						AAMI Park
					","Hyundai A-League R15","AAMI Park","2015-02-01T06:00:00+00:00","
							Attendance
							7,561
						","Attendance","7,561","14/15"
"480","
						Melbourne Victory

						","
						Central Coast Mariners

						","Hyundai A-League R27","AAMI Park","22,285","
						Hyundai A-League R27
						AAMI Park
					","Hyundai A-League R27","AAMI Park","2015-04-26T07:00:00+00:00","
							Attendance
							22,285
						","Attendance","22,285","14/15"
"481","
						Newcastle Jets

						","
						Brisbane Roar FC

						","Hyundai A-League R16","McDonald Jones Stadium","6,944","
						Hyundai A-League R16
						McDonald Jones Stadium
					","Hyundai A-League R16","McDonald Jones Stadium","2015-02-06T08:40:00+00:00","
							Attendance
							6,944
						","Attendance","6,944","14/15"
"482","
						Central Coast Mariners

						","
						Adelaide United

						","Hyundai A-League R16","Central Coast Stadium","4,508","
						Hyundai A-League R16
						Central Coast Stadium
					","Hyundai A-League R16","Central Coast Stadium","2015-02-07T06:00:00+00:00","
							Attendance
							4,508
						","Attendance","4,508","14/15"
"483","
						Melbourne Victory

						","
						Melbourne City FC

						","Hyundai A-League R16","Marvel Stadium","40,042","
						Hyundai A-League R16
						Marvel Stadium
					","Hyundai A-League R16","Marvel Stadium","2015-02-07T08:30:00+00:00","
							Attendance
							40,042
						","Attendance","40,042","14/15"
"484","
						Perth Glory

						","
						Sydney FC

						","Hyundai A-League R16","HBF Park","11,637","
						Hyundai A-League R16
						HBF Park
					","Hyundai A-League R16","HBF Park","2015-02-07T10:30:00+00:00","
							Attendance
							11,637
						","Attendance","11,637","14/15"
"485","
						Western Sydney Wanderers FC

						","
						Wellington Phoenix

						","Hyundai A-League R16","Panthers Stadium","12,663","
						Hyundai A-League R16
						Panthers Stadium
					","Hyundai A-League R16","Panthers Stadium","2015-02-08T06:00:00+00:00","
							Attendance
							12,663
						","Attendance","12,663","14/15"
"486","
						Central Coast Mariners

						","
						Brisbane Roar FC

						","Hyundai A-League R17","Central Coast Stadium","6,021","
						Hyundai A-League R17
						Central Coast Stadium
					","Hyundai A-League R17","Central Coast Stadium","2015-02-13T08:40:00+00:00","
							Attendance
							6,021
						","Attendance","6,021","14/15"
"487","
						Wellington Phoenix

						","
						Melbourne City FC

						","Hyundai A-League R17","Hutt Recreational Ground","9,232","
						Hyundai A-League R17
						Hutt Recreational Ground
					","Hyundai A-League R17","Hutt Recreational Ground","2015-02-14T04:00:00+00:00","
							Attendance
							9,232
						","Attendance","9,232","14/15"
"488","
						Newcastle Jets

						","
						Western Sydney Wanderers FC

						","Hyundai A-League R17","McDonald Jones Stadium","11,019","
						Hyundai A-League R17
						McDonald Jones Stadium
					","Hyundai A-League R17","McDonald Jones Stadium","2015-02-14T06:00:00+00:00","
							Attendance
							11,019
						","Attendance","11,019","14/15"
"489","
						Sydney FC

						","
						Melbourne Victory

						","Hyundai A-League R17","Allianz Stadium","17,356","
						Hyundai A-League R17
						Allianz Stadium
					","Hyundai A-League R17","Allianz Stadium","2015-02-14T08:30:00+00:00","
							Attendance
							17,356
						","Attendance","17,356","14/15"
"490","
						Adelaide United

						","
						Perth Glory

						","Hyundai A-League R17","Coopers Stadium","9,711","
						Hyundai A-League R17
						Coopers Stadium
					","Hyundai A-League R17","Coopers Stadium","2015-02-15T06:00:00+00:00","
							Attendance
							9,711
						","Attendance","9,711","14/15"
"491","
						Brisbane Roar FC

						","
						Melbourne Victory

						","Hyundai A-League R18","Suncorp Stadium","10,642","
						Hyundai A-League R18
						Suncorp Stadium
					","Hyundai A-League R18","Suncorp Stadium","2015-04-15T09:40:00+00:00","
							Attendance
							10,642
						","Attendance","10,642","14/15"
"492","
						Sydney FC

						","
						Central Coast Mariners

						","Hyundai A-League R18","Allianz Stadium","14,239","
						Hyundai A-League R18
						Allianz Stadium
					","Hyundai A-League R18","Allianz Stadium","2015-02-21T06:00:00+00:00","
							Attendance
							14,239
						","Attendance","14,239","14/15"
"493","
						Adelaide United

						","
						Western Sydney Wanderers FC

						","Hyundai A-League R18","Coopers Stadium","9,212","
						Hyundai A-League R18
						Coopers Stadium
					","Hyundai A-League R18","Coopers Stadium","2015-02-21T08:30:00+00:00","
							Attendance
							9,212
						","Attendance","9,212","14/15"
"494","
						Wellington Phoenix

						","
						Newcastle Jets

						","Hyundai A-League R18","Hutt Recreational Ground","8,437","
						Hyundai A-League R18
						Hutt Recreational Ground
					","Hyundai A-League R18","Hutt Recreational Ground","2015-02-22T04:00:00+00:00","
							Attendance
							8,437
						","Attendance","8,437","14/15"
"495","
						Melbourne City FC

						","
						Perth Glory

						","Hyundai A-League R18","AAMI Park","6,486","
						Hyundai A-League R18
						AAMI Park
					","Hyundai A-League R18","AAMI Park","2015-02-22T06:00:00+00:00","
							Attendance
							6,486
						","Attendance","6,486","14/15"
"496","
						Melbourne City FC

						","
						Adelaide United

						","Hyundai A-League R19","AAMI Park","7,345","
						Hyundai A-League R19
						AAMI Park
					","Hyundai A-League R19","AAMI Park","2015-02-27T08:40:00+00:00","
							Attendance
							7,345
						","Attendance","7,345","14/15"
"497","
						Newcastle Jets

						","
						Central Coast Mariners

						","Hyundai A-League R19","McDonald Jones Stadium","7,991","
						Hyundai A-League R19
						McDonald Jones Stadium
					","Hyundai A-League R19","McDonald Jones Stadium","2015-02-28T06:00:00+00:00","
							Attendance
							7,991
						","Attendance","7,991","14/15"
"498","
						Western Sydney Wanderers FC

						","
						Sydney FC

						","Hyundai A-League R19","Pirtek Stadium","19,484","
						Hyundai A-League R19
						Pirtek Stadium
					","Hyundai A-League R19","Pirtek Stadium","2015-02-28T08:30:00+00:00","
							Attendance
							19,484
						","Attendance","19,484","14/15"
"499","
						Perth Glory

						","
						Brisbane Roar FC

						","Hyundai A-League R19","HBF Park","10,422","
						Hyundai A-League R19
						HBF Park
					","Hyundai A-League R19","HBF Park","2015-02-28T10:30:00+00:00","
							Attendance
							10,422
						","Attendance","10,422","14/15"
"500","
						Melbourne Victory

						","
						Wellington Phoenix

						","Hyundai A-League R19","AAMI Park","22,096","
						Hyundai A-League R19
						AAMI Park
					","Hyundai A-League R19","AAMI Park","2015-03-01T06:00:00+00:00","
							Attendance
							22,096
						","Attendance","22,096","14/15"
"501","
						Newcastle Jets

						","
						Sydney FC

						","Hyundai A-League R20","McDonald Jones Stadium","8,783","
						Hyundai A-League R20
						McDonald Jones Stadium
					","Hyundai A-League R20","McDonald Jones Stadium","2015-03-06T08:40:00+00:00","
							Attendance
							8,783
						","Attendance","8,783","14/15"
"502","
						Wellington Phoenix

						","
						Adelaide United

						","Hyundai A-League R20","Hutt Recreational Ground","7,819","
						Hyundai A-League R20
						Hutt Recreational Ground
					","Hyundai A-League R20","Hutt Recreational Ground","2015-03-07T04:00:00+00:00","
							Attendance
							7,819
						","Attendance","7,819","14/15"
"503","
						Melbourne Victory

						","
						Perth Glory

						","Hyundai A-League R20","AAMI Park","22,525","
						Hyundai A-League R20
						AAMI Park
					","Hyundai A-League R20","AAMI Park","2015-03-07T08:30:00+00:00","
							Attendance
							22,525
						","Attendance","22,525","14/15"
"504","
						Central Coast Mariners

						","
						Melbourne City FC

						","Hyundai A-League R20","Central Coast Stadium","6,079","
						Hyundai A-League R20
						Central Coast Stadium
					","Hyundai A-League R20","Central Coast Stadium","2015-03-08T04:00:00+00:00","
							Attendance
							6,079
						","Attendance","6,079","14/15"
"505","
						Brisbane Roar FC

						","
						Western Sydney Wanderers FC

						","Hyundai A-League R20","Suncorp Stadium","12,095","
						Hyundai A-League R20
						Suncorp Stadium
					","Hyundai A-League R20","Suncorp Stadium","2015-03-08T06:00:00+00:00","
							Attendance
							12,095
						","Attendance","12,095","14/15"
"506","
						Adelaide United

						","
						Central Coast Mariners

						","Hyundai A-League R21","Coopers Stadium","7,767","
						Hyundai A-League R21
						Coopers Stadium
					","Hyundai A-League R21","Coopers Stadium","2015-03-12T08:30:00+00:00","
							Attendance
							7,767
						","Attendance","7,767","14/15"
"507","
						Western Sydney Wanderers FC

						","
						Melbourne Victory

						","Hyundai A-League R21","Pirtek Stadium","11,073","
						Hyundai A-League R21
						Pirtek Stadium
					","Hyundai A-League R21","Pirtek Stadium","2015-03-13T08:40:00+00:00","
							Attendance
							11,073
						","Attendance","11,073","14/15"
"508","
						Sydney FC

						","
						Brisbane Roar FC

						","Hyundai A-League R21","Allianz Stadium","13,818","
						Hyundai A-League R21
						Allianz Stadium
					","Hyundai A-League R21","Allianz Stadium","2015-03-15T06:00:00+00:00","
							Attendance
							13,818
						","Attendance","13,818","14/15"
"509","
						Perth Glory

						","
						Wellington Phoenix

						","Hyundai A-League R21","HBF Park","9,178","
						Hyundai A-League R21
						HBF Park
					","Hyundai A-League R21","HBF Park","2015-03-14T10:30:00+00:00","
							Attendance
							9,178
						","Attendance","9,178","14/15"
"510","
						Melbourne City FC

						","
						Newcastle Jets

						","Hyundai A-League R21","AAMI Park","5,867","
						Hyundai A-League R21
						AAMI Park
					","Hyundai A-League R21","AAMI Park","2015-03-14T08:30:00+00:00","
							Attendance
							5,867
						","Attendance","5,867","14/15"
"511","
						Sydney FC

						","
						Melbourne City FC

						","Hyundai A-League R22","Allianz Stadium","11,638","
						Hyundai A-League R22
						Allianz Stadium
					","Hyundai A-League R22","Allianz Stadium","2015-03-20T08:40:00+00:00","
							Attendance
							11,638
						","Attendance","11,638","14/15"
"512","
						Western Sydney Wanderers FC

						","
						Newcastle Jets

						","Hyundai A-League R22","Pirtek Stadium","10,109","
						Hyundai A-League R22
						Pirtek Stadium
					","Hyundai A-League R22","Pirtek Stadium","2015-03-21T06:00:00+00:00","
							Attendance
							10,109
						","Attendance","10,109","14/15"
"513","
						Adelaide United

						","
						Melbourne Victory

						","Hyundai A-League R22","Coopers Stadium","16,077","
						Hyundai A-League R22
						Coopers Stadium
					","Hyundai A-League R22","Coopers Stadium","2015-03-21T08:30:00+00:00","
							Attendance
							16,077
						","Attendance","16,077","14/15"
"514","
						Central Coast Mariners

						","
						Perth Glory

						","Hyundai A-League R22","Central Coast Stadium","5,338","
						Hyundai A-League R22
						Central Coast Stadium
					","Hyundai A-League R22","Central Coast Stadium","2015-03-22T04:00:00+00:00","
							Attendance
							5,338
						","Attendance","5,338","14/15"
"515","
						Brisbane Roar FC

						","
						Wellington Phoenix

						","Hyundai A-League R22","Suncorp Stadium","10,075","
						Hyundai A-League R22
						Suncorp Stadium
					","Hyundai A-League R22","Suncorp Stadium","2015-03-22T06:00:00+00:00","
							Attendance
							10,075
						","Attendance","10,075","14/15"
"516","
						Adelaide United

						","
						Melbourne City FC

						","Hyundai A-League R27","Coopers Stadium","8,773","
						Hyundai A-League R27
						Coopers Stadium
					","Hyundai A-League R27","Coopers Stadium","2015-04-25T09:30:00+00:00","
							Attendance
							8,773
						","Attendance","8,773","14/15"
"517","
						Melbourne Victory

						","
						Central Coast Mariners

						","Hyundai A-League R23","AAMI Park","18,205","
						Hyundai A-League R23
						AAMI Park
					","Hyundai A-League R23","AAMI Park","2015-03-27T08:40:00+00:00","
							Attendance
							18,205
						","Attendance","18,205","14/15"
"518","
						Melbourne City FC

						","
						Brisbane Roar FC

						","Hyundai A-League R23","AAMI Park","9,561","
						Hyundai A-League R23
						AAMI Park
					","Hyundai A-League R23","AAMI Park","2015-03-28T08:30:00+00:00","
							Attendance
							9,561
						","Attendance","9,561","14/15"
"519","
						Perth Glory

						","
						Western Sydney Wanderers FC

						","Hyundai A-League R23","HBF Park","9,415","
						Hyundai A-League R23
						HBF Park
					","Hyundai A-League R23","HBF Park","2015-03-28T10:30:00+00:00","
							Attendance
							9,415
						","Attendance","9,415","14/15"
"520","
						Wellington Phoenix

						","
						Sydney FC

						","Hyundai A-League R23","Westpac Stadium","6,236","
						Hyundai A-League R23
						Westpac Stadium
					","Hyundai A-League R23","Westpac Stadium","2015-03-29T04:00:00+00:00","
							Attendance
							6,236
						","Attendance","6,236","14/15"
"521","
						Newcastle Jets

						","
						Adelaide United

						","Hyundai A-League R23","McDonald Jones Stadium","6,888","
						Hyundai A-League R23
						McDonald Jones Stadium
					","Hyundai A-League R23","McDonald Jones Stadium","2015-03-29T06:00:00+00:00","
							Attendance
							6,888
						","Attendance","6,888","14/15"
"522","
						Brisbane Roar FC

						","
						Central Coast Mariners

						","Hyundai A-League R24","Suncorp Stadium","6,148","
						Hyundai A-League R24
						Suncorp Stadium
					","Hyundai A-League R24","Suncorp Stadium","2015-04-02T09:00:00+00:00","
							Attendance
							6,148
						","Attendance","6,148","14/15"
"523","
						Western Sydney Wanderers FC

						","
						Melbourne City FC

						","Hyundai A-League R24","Pirtek Stadium","9,054","
						Hyundai A-League R24
						Pirtek Stadium
					","Hyundai A-League R24","Pirtek Stadium","2015-04-03T08:40:00+00:00","
							Attendance
							9,054
						","Attendance","9,054","14/15"
"524","
						Sydney FC

						","
						Adelaide United

						","Hyundai A-League R24","Allianz Stadium","11,585","
						Hyundai A-League R24
						Allianz Stadium
					","Hyundai A-League R24","Allianz Stadium","2015-04-04T08:30:00+00:00","
							Attendance
							11,585
						","Attendance","11,585","14/15"
"525","
						Wellington Phoenix

						","
						Melbourne Victory

						","Hyundai A-League R24","Westpac Stadium","8,417","
						Hyundai A-League R24
						Westpac Stadium
					","Hyundai A-League R24","Westpac Stadium","2015-04-05T07:00:00+00:00","
							Attendance
							8,417
						","Attendance","8,417","14/15"
"526","
						Newcastle Jets

						","
						Perth Glory

						","Hyundai A-League R24","McDonald Jones Stadium","4,162","
						Hyundai A-League R24
						McDonald Jones Stadium
					","Hyundai A-League R24","McDonald Jones Stadium","2015-04-06T07:00:00+00:00","
							Attendance
							4,162
						","Attendance","4,162","14/15"
"527","
						Melbourne Victory

						","
						Newcastle Jets

						","Hyundai A-League R25","AAMI Park","19,277","
						Hyundai A-League R25
						AAMI Park
					","Hyundai A-League R25","AAMI Park","2015-04-10T09:40:00+00:00","
							Attendance
							19,277
						","Attendance","19,277","14/15"
